MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0805W8F4992T5E,Uniroyal Electronics Industry,49.9k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,49.9k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F4992T5E,Preferred,C17719,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF5102TCE,Uniroyal Electronics Industry,51k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,51k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF5102TCE,Basic,C25794,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF5102T5E,Uniroyal Electronics Industry,51k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,51k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF5102T5E,Basic,C23196,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F5102T5E,Uniroyal Electronics Industry,51k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,51k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F5102T5E,Basic,C17737,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
FRC0805F2553TS,Fojan Electronics,51k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,51k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,N/A,Preferred,C2933461,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590912227518337024
0402WGF5602TCE,Uniroyal Electronics Industry,56k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,56k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF5602TCE,Preferred,C25796,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF5602T5E,Uniroyal Electronics Industry,56k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,56k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF5602T5E,Basic,C23206,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F5602T5E,Uniroyal Electronics Industry,56k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,56k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F5602T5E,Preferred,C17756,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF6202T5E,Uniroyal Electronics Industry,62k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,62k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF6202T5E,Preferred,C23221,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F6202T5E,Uniroyal Electronics Industry,62k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,62k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F6202T5E,Preferred,C17783,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF6802TCE,Uniroyal Electronics Industry,68k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,68k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF6802TCE,Preferred,C36871,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF6802T5E,Uniroyal Electronics Industry,68k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,68k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF6802T5E,Basic,C23231,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F6802T5E,Uniroyal Electronics Industry,68k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,68k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F6802T5E,Basic,C17801,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF7502TCE,Uniroyal Electronics Industry,75k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,75k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF7502TCE,Preferred,C25798,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF7502T5E,Uniroyal Electronics Industry,75k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,75k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF7502T5E,Basic,C23242,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F7502T5E,Uniroyal Electronics Industry,75k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,75k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F7502T5E,Preferred,C17819,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
FRC0805F7872TS,Fojan Electronics,78.7k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,78.7k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,N/A,Preferred,C2933499,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590912227518337024
0603WAF8202T5E,Uniroyal Electronics Industry,82k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,82k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF8202T5E,Basic,C23254,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F8202T5E,Uniroyal Electronics Industry,82k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,82k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F8202T5E,Preferred,C17840,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF9102T5E,Uniroyal Electronics Industry,91k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,91k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF9102T5E,Preferred,C23265,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF1003TCE,Uniroyal Electronics Industry,100k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,100k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF1003TCE,Basic,C11616,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF1003T5E,Uniroyal Electronics Industry,100k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,100k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1003T5E,Basic,C25803,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F1003T5E,Uniroyal Electronics Industry,100k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,100k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F1003T5E,Basic,C149504,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
