MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0603WAF3900T5E,Uniroyal Electronics Industry,390R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,390R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF3900T5E,Basic,C23151,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F3900T5E,Uniroyal Electronics Industry,390R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,390R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F3900T5E,Basic,C17655,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF4300T5E,Uniroyal Electronics Industry,430R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,430R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF4300T5E,Preferred,C23170,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF4700TCE,Uniroyal Electronics Industry,470R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,470R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF4700TCE,Basic,C25117,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF4700T5E,Uniroyal Electronics Industry,470R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,470R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF4700T5E,Basic,C23179,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F4700T5E,Uniroyal Electronics Industry,470R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,470R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F4700T5E,Basic,C17710,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF5100T5E,Uniroyal Electronics Industry,510R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,510R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF5100T5E,Basic,C23193,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F5100T5E,Uniroyal Electronics Industry,510R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,510R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F5100T5E,Basic,C17734,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF5600T5E,Uniroyal Electronics Industry,560R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,560R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF5600T5E,Basic,C23204,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF6200T5E,Uniroyal Electronics Industry,620R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,620R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF6200T5E,Preferred,C23220,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF6800T5E,Uniroyal Electronics Industry,680R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,680R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF6800T5E,Basic,C23228,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F6800T5E,Uniroyal Electronics Industry,680R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,680R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F6800T5E,Basic,C17798,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF7500T5E,Uniroyal Electronics Industry,750R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,750R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF7500T5E,Preferred,C23241,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
